1,1,6.92303e-310
1,2,6.92303e-310
1,4,6.92303e-310
1,8,6.92303e-310
1,16,6.92303e-310
1,32,6.92303e-310
1,64,6.92303e-310
1,128,6.92303e-310
1,256,6.92303e-310
1,512,6.92303e-310
1,1024,6.92303e-310
1,2048,6.92303e-310
1,4096,6.92303e-310
1,8192,6.92303e-310
2,1,6.92303e-310
2,2,6.92303e-310
2,4,6.92303e-310
2,8,6.92303e-310
2,16,6.92303e-310
2,32,6.92303e-310
2,64,6.92303e-310
2,128,6.92303e-310
2,256,6.92303e-310
2,512,6.92303e-310
2,1024,6.92303e-310
2,2048,6.92303e-310
2,4096,6.92303e-310
2,8192,6.92303e-310
4,1,6.92303e-310
4,2,6.92303e-310
4,4,6.92303e-310
4,8,6.92303e-310
4,16,6.92303e-310
4,32,6.92303e-310
4,64,6.92303e-310
4,128,6.92303e-310
4,256,6.92303e-310
4,512,6.92303e-310
4,1024,6.92303e-310
4,2048,6.92303e-310
4,4096,6.92303e-310
4,8192,6.92303e-310
8,1,6.92303e-310
8,2,6.92303e-310
8,4,6.92303e-310
8,8,6.92303e-310
8,16,6.92303e-310
8,32,6.92303e-310
8,64,6.92303e-310
8,128,6.92303e-310
8,256,6.92303e-310
8,512,6.92303e-310
8,1024,6.92303e-310
8,2048,6.92303e-310
8,4096,6.92303e-310
8,8192,6.92303e-310
16,1,6.92303e-310
16,2,6.92303e-310
16,4,6.92303e-310
16,8,6.92303e-310
16,16,6.92303e-310
16,32,6.92303e-310
16,64,6.92303e-310
16,128,6.92303e-310
16,256,6.92303e-310
16,512,6.92303e-310
16,1024,6.92303e-310
16,2048,6.92303e-310
16,4096,6.92303e-310
16,8192,6.92303e-310
32,1,6.92303e-310
32,2,6.92303e-310
32,4,6.92303e-310
32,8,6.92303e-310
32,16,6.92303e-310
32,32,6.92303e-310
32,64,6.92303e-310
32,128,6.92303e-310
32,256,6.92303e-310
32,512,6.92303e-310
32,1024,6.92303e-310
32,2048,6.92303e-310
32,4096,6.92303e-310
32,8192,6.92303e-310
64,1,6.92303e-310
64,2,6.92303e-310
64,4,6.92303e-310
64,8,6.92303e-310
64,16,6.92303e-310
64,32,6.92303e-310
64,64,6.92303e-310
64,128,6.92303e-310
64,256,6.92303e-310
64,512,6.92303e-310
64,1024,6.92303e-310
64,2048,6.92303e-310
64,4096,6.92303e-310
64,8192,6.92303e-310
128,1,6.92303e-310
128,2,6.92303e-310
128,4,6.92303e-310
128,8,6.92303e-310
128,16,6.92303e-310
128,32,6.92303e-310
128,64,6.92303e-310
128,128,6.92303e-310
128,256,6.92303e-310
128,512,6.92303e-310
128,1024,6.92303e-310
128,2048,6.92303e-310
128,4096,6.92303e-310
128,8192,6.92303e-310
256,1,6.92303e-310
256,2,6.92303e-310
256,4,6.92303e-310
256,8,6.92303e-310
256,16,6.92303e-310
256,32,6.92303e-310
256,64,6.92303e-310
256,128,6.92303e-310
256,256,6.92303e-310
256,512,6.92303e-310
256,1024,6.92303e-310
256,2048,6.92303e-310
256,4096,6.92303e-310
256,8192,6.92303e-310
512,1,6.92303e-310
512,2,6.92303e-310
512,4,6.92303e-310
512,8,6.92303e-310
512,16,6.92303e-310
512,32,6.92303e-310
512,64,6.92303e-310
512,128,6.92303e-310
512,256,6.92303e-310
512,512,6.92303e-310
512,1024,6.92303e-310
512,2048,6.92303e-310
512,4096,6.92303e-310
512,8192,6.92303e-310
1024,1,6.92303e-310
1024,2,6.92303e-310
1024,4,6.92303e-310
1024,8,6.92303e-310
1024,16,6.92303e-310
1024,32,6.92303e-310
1024,64,6.92303e-310
1024,128,6.92303e-310
1024,256,6.92303e-310
1024,512,6.92303e-310
1024,1024,6.92303e-310
1024,2048,6.92303e-310
1024,4096,6.92303e-310
1024,8192,-1
2048,1,6.92303e-310
2048,2,6.92303e-310
2048,4,6.92303e-310
2048,8,6.92303e-310
2048,16,6.92303e-310
2048,32,6.92303e-310
2048,64,6.92303e-310
2048,128,6.92303e-310
2048,256,6.92303e-310
2048,512,6.92303e-310
2048,1024,6.92303e-310
2048,2048,6.92303e-310
2048,4096,-1
2048,8192,-1
